adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000002178-18-000067	2178	ADAMS RESOURCES & ENERGY, INC.	5172	US	TX	HOUSTON	77027	17 S. BRIAR HOLLOW LN.		713-881-3600	US	TX	HOUSTON	77001	P O BOX 844		US	DE	741753147	ADAMS RESOURCES & ENERGY INC	19920703	2-ACC	0	1231	10-Q	20180930	2018	Q3	20181107	2018-11-07 16:28:00.0	0	1	ae-20180930_htm.xml	1	
0000002488-18-000189	2488	ADVANCED MICRO DEVICES INC	3674	US	CA	SANTA CLARA	95054	2485 AUGUSTINE DRIVE		(408) 749-4000	US	CA	SANTA CLARA	95054	2485 AUGUSTINE DRIVE		US	DE	941692300			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181031	2018-10-31 16:15:00.0	0	1	amd-20180929.xml	1	
0000002969-18-000044	2969	AIR PRODUCTS & CHEMICALS INC /DE/	2810	US	PA	ALLENTOWN	18195-1501	7201 HAMILTON BLVD		6104814911	US	PA	ALLENTOWN	18195-1501	7201 HAMILTON BLVD		US	DE	231274455			1-LAF	1	0930	10-K	20180930	2018	FY	20181120	2018-11-20 14:48:00.0	0	1	apd-10xkx30sep2018_htm.xml	1	
0000003499-18-000023	3499	ALEXANDERS INC	6798	US	NJ	PARAMUS	07652	210 ROUTE 4 EAST		201-587-8541	US	NJ	PARAMUS	07652	210 ROUTE 4 EAST		US	DE	510100517			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181029	2018-10-29 08:23:00.0	0	1	alx-20180930.xml	1	
0000003545-18-000108	3545	ALICO INC	0100	US	FL	FT. MYERS,	33913	10070 DANIELS INTERSTATE COURT STE. 100		239-226-2000	US	FL	FT. MYERS,	33913	10070 DANIELS INTERSTATE COURT STE. 100		US	FL	590906081	ALICO LAND DEVELOPMENT CO	19740219	2-ACC	0	0930	10-K	20180930	2018	FY	20181206	2018-12-06 16:59:00.0	0	1	alco-20180930.xml	1	
0000003570-18-000160	3570	CHENIERE ENERGY INC	4924	US	TX	HOUSTON	77002	700 MILAM ST.	SUITE 1900	7133755000	US	TX	HOUSTON	77002	700 MILAM ST.	SUITE 1900	US	DE	954352386	BEXY COMMUNICATIONS INC	19940314	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181108	2018-11-07 17:34:00.0	0	1	lng-20180930.xml	1	
0000004127-18-000046	4127	SKYWORKS SOLUTIONS, INC.	3674	US	MA	WOBURN	01801	20 SYLVAN ROAD		6179355150	US	MA	WOBURN	01801	20 SYLVAN ROAD	20 SYLVAN ROAD	US	DE	042302115	SKYWORKS SOLUTIONS INC	20020627	1-LAF	1	0930	10-K	20180930	2018	FY	20181115	2018-11-14 18:45:00.0	0	1	swks-20180928.xml	1	
0000004281-18-000127	4281	ARCONIC INC.	3350	US	NY	NEW YORK	10022-4608	390 PARK AVENUE		2128362732	US	NY	NEW YORK	10022-4608	390 PARK AVENUE		US	DE	250317820	ALCOA INC.	20141003	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181101	2018-11-01 10:09:00.0	0	1	arnc-20180930.xml	1	
0000004457-18-000054	4457	AMERCO /NV/	7510	US	NV	RENO	89511	5555 KIETZKE LANE STE 100		7756886300	US	NV	RENO	89511	5555 KIETZKE LANE	SUITE 100	US	NV	880106815	AMERCO	19770926	1-LAF	0	0331	10-Q	20180930	2019	Q2	20181107	2018-11-07 16:06:00.0	0	1	uhal-20180930.xml	1	
0000004904-18-000055	4904	AMERICAN ELECTRIC POWER CO INC	4911	US	OH	COLUMBUS	43215	1 RIVERSIDE PLAZA		614-716-1000	US	OH	COLUMBUS	43215	1 RIVERSIDE PLAZA		US	NY	134922640	KINGSPORT UTILITIES INC	19660906	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181025	2018-10-25 17:17:00.0	0	1	aep-20180930.xml	8	81027 73986 92487 1702494 50172 6879 1721781
0000004962-18-000121	4962	AMERICAN EXPRESS CO	6199	US	NY	NEW YORK	10285	200 VESEY STREET	50TH FLOOR	2126402000	US	NY	NEW YORK	10285	200 VESEY STREET	50TH FLOOR	US	NY	134922250			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181023	2018-10-23 15:10:00.0	0	1	axp-20180930.xml	1	
0000004969-18-000024	4969	AMERICAN EXPRESS CREDIT CORP	6153	US	DE	WILMINGTON	19801-2919	ONE CHRISTINA CENTRE 301 N WALNUT STREET	SUITE 1002	3025943350	US	DE	WILMINGTON	19801-2919	ONE CHRISTINA CENTRE 301 N WALNUT STREET	SUITE 1002	US	DE	111988350			4-NON	0	1231	10-Q	20180930	2018	Q3	20181102	2018-11-02 11:00:00.0	0	1	aexc-20180930.xml	1	
0000004977-18-000152	4977	AFLAC INC	6321	US	GA	COLUMBUS	31999	1932 WYNNTON RD		7063233431	US	GA	COLUMBUS	31999	1932 WYNNTON ROAD		US	GA	581167100	AMERICAN FAMILY CORP	19920306	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181101	2018-11-01 13:46:00.0	0	1	afl9301810q_htm.xml	1	
0000005272-18-000043	5272	AMERICAN INTERNATIONAL GROUP INC	6331	US	NY	NEW YORK	10038	175 WATER STREET		2127707000	US	NY	NEW YORK	10038	175 WATER STREET		US	DE	132592361	AMERICAN INTERNATIONAL ENTERPRISES INC	19700507	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181102	2018-11-02 12:07:00.0	0	1	aig-20180930.xml	1	
0000005513-18-000094	5513	UNUM GROUP	6321	US	TN	CHATTANOOGA	37402	1 FOUNTAIN SQUARE		423-294-1011	US	TN	CHATTANOOGA	37402	1 FOUNTAIN SQUARE		US	DE	621598430	UNUMPROVIDENT CORP	19990702	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181025	2018-10-25 11:39:00.0	0	1	unm-20180930.xml	1	
0000006201-18-000039	6201	AMERICAN AIRLINES GROUP INC.	4512	US	TX	FORT WORTH	76155	4333 AMON CARTER BLVD		8179631234	US	TX	FORT WORTH	75261-9616	4333 AMON CARTER BLVD		US	DE	751825172	AMR CORP	19920703	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181025	2018-10-25 07:39:00.0	0	1	aal-20180930.xml	2	4515
0000006281-18-000126	6281	ANALOG DEVICES INC	3674	US	MA	NORWOOD	02062	ONE TECHNOLOGY WAY		7813294700	US	MA	NORWOOD	02062	ONE TECHNOLOGY WAY		US	MA	042348234			1-LAF	1	1031	10-K	20181031	2018	FY	20181127	2018-11-27 08:17:00.0	0	1	adi-20181103.xml	1	
0000006845-18-000021	6845	APOGEE ENTERPRISES, INC.	3231	US	MN	MINNEAPOLIS	55435	4400 WEST 78TH STREET	SUITE 520	6128351874	US	MN	MINNEAPOLIS	55435	4400 WEST 78TH STREET	SUITE 520	US	MN	410919654	APOGEE ENTERPRISES INC	19920703	1-LAF	0	0228	10-Q	20180831	2019	Q2	20181009	2018-10-09 15:53:00.0	0	1	apog-20180901.xml	1	
0000006885-18-000322	6885	STAGE STORES INC	5651	US	TX	HOUSTON	77027	2425 WEST LOOP SOUTH		7136675601	US	TX	HOUSTON	77027	2425 WEST LOOP SOUTH		US	NV	911826900	APPAREL RETAILERS INC	19930908	2-ACC	0	0131	10-Q	20181031	2018	Q3	20181212	2018-12-12 17:30:00.0	0	1	ssi-20181103.xml	1	
0000006951-18-000041	6951	APPLIED MATERIALS INC /DE	3674	US	CA	SANTA CLARA	95054-3299	3050 BOWERS AVE		4085635300	US	CA	SANTA CLARA	95054-3299	3050 BOWERS AVE		US	DC	941655526	APPLIED MATERIALS TECHNOLOGY INC	19730319	1-LAF	1	1031	10-K	20181031	2018	FY	20181213	2018-12-13 16:17:00.0	0	1	amat-20181028.xml	1	
0000006955-18-000038	6955	ACTUANT CORP	3590	US	WI	MENOMONEE FALLS	53051	ATTN:  BRYAN JOHNSON	N86 W12500 WESTBROOK CROSSING	262-293-1697	US	WI	MENOMONEE FALLS	53051	ATTN:  BRYAN JOHNSON	N86 W12500 WESTBROOK CROSSING	US	WI	390168610	APPLIED POWER INC	19920703	1-LAF	1	0831	10-K	20180831	2018	Q4	20181029	2018-10-29 16:25:00.0	0	1	atu-20180831.xml	1	
0000007039-18-000059	7039	TRECORA RESOURCES	2911	US	TX	SUGAR LAND	77478	1650 HWY 6 SOUTH, SUITE 190		281-980-5522	US	TX	SUGAR LAND	77478	1650 HWY 6 SOUTH, SUITE 190		US	DE	751256622	ARABIAN AMERICAN DEVELOPMENT CO	20000811	2-ACC	0	1231	10-Q	20180930	2018	Q3	20181106	2018-11-06 16:48:00.0	0	1	trec-20180930.xml	1	
0000007084-18-000039	7084	ARCHER DANIELS MIDLAND CO	2070	US	IL	CHICAGO	60601	77 W. WACKER DR.		312-634-8233	US	IL	CHICAGO	60601	77 W. WACKER DR.		US	DE	410129150			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181106	2018-11-06 16:04:00.0	0	1	adm-20180930.xml	1	
0000007332-18-000051	7332	SOUTHWESTERN ENERGY CO	1311	US	TX	SPRING	77389	10000 ENERGY DRIVE		832-796-4700	US	TX	SPRING	77389	10000 ENERGY DRIVE		US	DE	710205415	ARKANSAS WESTERN GAS CO	19790917	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181025	2018-10-25 17:28:00.0	0	1	swn-20180930.xml	1	
0000007789-18-000053	7789	ASSOCIATED BANC-CORP	6022	US	WI	GREEN BAY	54301	433 MAIN STREET		920-491-7500	US	WI	GREEN BAY	54301	433 MAIN STREET		US	WI	391098068	ASSOCIATED BANK SERVICES INC	19770626	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181026	2018-10-26 16:40:00.0	0	1	asb09302018form10-q_htm.xml	1	
0000008063-18-000029	8063	ASTRONICS CORP	3728	US	NY	EAST AURORA	14052-2191	130 COMMERCE WAY	-	716-805-1599	US	NY	EAST AURORA	14052-2191	130 COMMERCE WAY	-	US	NY	160959303	ASTRONICS LUMINESCENT INC	19711209	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181107	2018-11-07 16:23:00.0	0	1	atro-20180929_htm.xml	1	
0000008670-18-000017	8670	AUTOMATIC DATA PROCESSING INC	7374	US	NJ	ROSELAND	07068	ONE ADP BOULVARD		9739745000	US	NJ	ROSELAND	07068	ONE ADP BOULEVARD		US	DE	221467904			1-LAF	0	0630	10-Q	20180930	2019	Q1	20181101	2018-11-01 16:53:00.0	0	1	adp-20180930.xml	1	
0000008858-18-000069	8858	AVNET INC	5065	US	AZ	PHOENIX	85034	2211 SOUTH 47TH STREET		4806432000	US	AZ	PHOENIX	85034	2211 SOUTH 47TH STREET		US	NY	111890605			1-LAF	0	0630	10-Q	20180930	2019	Q1	20181108	2018-11-07 17:38:00.0	0	1	avt-20180929.xml	1	
0000008868-18-000051	8868	AVON PRODUCTS INC	2844	US	NY	RYE	10580	601 MIDLAND AVENUE		914-935-2000	US	NY	RYE	10580	601 MIDLAND AVENUE		US	NY	130544597			1-LAF	0	1231	10-Q	20180930	2018	Q3	20181102	2018-11-02 12:39:00.0	0	1	avp-20180930.xml	1	
0000008947-18-000161	8947	AZZ INC	3640	US	TX	FORT WORTH	76107	ONE MUSEUM PLACE, SUITE 500	3100 W 7TH STREET	8178100095	US	TX	FORT WORTH	76107	ONE MUSEUM PLACE, SUITE 500	3100 W 7TH STREET	US	TX	750948250	AZTEC MANUFACTURING CO	20000911	1-LAF	0	0228	10-Q	20180831	2019	Q2	20181009	2018-10-09 06:34:00.0	0	1	azz-20180831.xml	1	
0000009092-18-000012	9092	BADGER METER INC	3824	US	WI	MILWAUKEE	53223	4545 WEST BROWN DEER ROAD		4143715702	US	WI	MILWAUKEE	53223	4545 W BROWN DEER RD		US	WI	390143280	BADGER METER MANUFACTURING CO	19710729	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181024	2018-10-24 17:20:00.0	0	1	bmi-20180930.xml	1	
0000009346-18-000090	9346	PROTECTIVE INSURANCE CORP	6331	US	IN	CARMEL	46032	111 CONGRESSIONAL BLVD	STE 500	317-452-7426	US	IN	CARMEL	46032	111 CONGRESSIONAL BLVD	STE 500	US	IN	350160330	BALDWIN & LYONS INC	19930908	2-ACC	0	1231	10-Q	20180930	2018	Q3	20181107	2018-11-07 13:51:00.0	0	1	ptvc-20180930.xml	1	
0000009984-18-000083	9984	BARNES GROUP INC	3490	US	CT	BRISTOL	06010	123 MAIN ST		8605837070	US	CT	BRISTOL	06010	123 MAIN ST		US	DE	060247840	ASSOCIATED SPRING CORP	19760518	1-LAF	0	1231	10-Q	20180930	2018	Q3	20181029	2018-10-29 14:27:00.0	0	1	b-20180930.xml	1	
0000010048-18-000021	10048	BARNWELL INDUSTRIES INC	1311	US	HI	HONOLULU	96813	1100 ALAKEA ST.	SUITE 2900	808-531-8400	US	HI	HONOLULU	96813	1100 ALAKEA ST.	SUITE 2900	US	DE	720496921	BMA CORP/TN	19770324	4-NON	0	0930	10-K	20180930	2018	FY	20181220	2018-12-19 17:36:00.0	0	1	brn-20180930.xml	1	
0000010254-18-000080	10254	EARTHSTONE ENERGY INC	1311	US	TX	THE WOODLANDS	77380	1400 WOODLOCH FOREST DRIVE	SUITE 300	281-298-4246	US	TX	THE WOODLANDS	77380	1400 WOODLOCH FOREST DRIVE	SUITE 300	US	DE	840592823	BASIC EARTH SCIENCE SYSTEMS INC	19920703	2-ACC	0	1231	10-Q	20180930	2018	Q3	20181107	2018-11-07 16:07:00.0	0	1	este-20180930.xml	1	
